CROPNAME;CROPNAME_FAO
abaca;Manila Fibre (Abaca) 
agave;Agave Fibres Nes 
alfalfa;alfalfa
almond;Almonds, with shell 
aniseetc;Anise, badian, fennel, corian.
apple;Apples
apricot;Apricots
areca;Arecanuts
artichoke;Artichokes
asparagus;Asparagus
avocado;Avocados
bambara;Bambara beans
banana;Bananas
barley;Barley
bean;Beans, dry
beetfor;beetfor
berrynes;Berries Nes
blueberry;Blueberries
brazil;Brazil nuts, with shell
broadbean;Broad beans, horse beans, dry
buckwheat;Buckwheat
cabbage;Cabbages and other brassicas
cabbagefor;cabbagefor
canaryseed;Canary seed
carob;Carobs
carrot;Carrots and turnips 
carrotfor;carrotfor
cashew;Cashew nuts, with shell
cashewapple;Cashewapple
cassava;Cassava
castor;Castor oil seed 
cauliflower;Cauliflowers and broccoli 
cerealnes;Cereals, nes
cherry;Cherries
chestnut;Chestnuts
chickpea;Chick peas
chicory;Chicory roots
chilleetc;Chillies and peppers, green
cinnamon;Cinnamon (canella)
citrusnes;Citrus fruit, nes 
clove;Cloves
clover;clover
cocoa;Cocoa beans
coconut;Coconuts
coffee;Coffee, green
coir;Coir
cotton;Seed cotton
cowpea;Cow peas, dry 
cranberry;Cranberries
cucumberetc;Cucumbers and gherkins 
currant;Currants
date;Dates
eggplant;Eggplants (aubergines)
fibrenes;Fibre Crops Nes 
fig;Figs
flax;Flax fibre and tow
fonio;Fonio
fornes;fornes
fruitnes;Fruit Fresh Nes 
garlic;Garlic
ginger;Ginger
gooseberry;Gooseberries
grape;Grapes
grapefruitetc;Grapefruit (inc. pomelos) 
grassnes;grassnes
greenbean;Beans, green
greenbroadbean;Leguminous vegetables, nes
greencorn;Maize, green
greenonion;Onions (inc. shallots), green
greenpea;Peas, green
groundnut;Groundnuts, with shell 
gums;Gums Natural
hazelnut;Hazelnuts, with shell 
hemp;Hemp Tow Waste 
hempseed;Hempseed
hop;Hops
jute;Jute
jutelikefiber;Other Bastfibres
kapokfiber;Kapok Fibre
kapokseed;Kapokseed in Shell 
karite;Karite Nuts (Sheanuts) 
kiwi;Kiwi fruit
kolanut;Kolanuts
legumenes;legumenes
lemonlime;Lemons and limes 
lentil;Lentils
lettuce;Lettuce and chicory 
linseed;Linseed
lupin;Lupins
maize;Maize
maizefor;maizefor
mango;Mangoes, mangosteens, guavas 
mate;Mate
melonetc;Other melons (inc.cantaloupes) 
melonseed;Melonseed
millet;Millet
mixedgrain;Mixed grain
mixedgrass;mixedgrass
mushroom;Mushrooms and truffles 
mustard;Mustard seed
nutmeg;Nutmeg, mace and cardamoms
nutnes;Nuts, nes
oats;Oats
oilpalm;Oil palm fruit 
oilseedfor;oilseedfor
oilseednes;Oilseeds, nes
okra;Okra
olive;Olives
onion;Onions, dry
orange;Oranges
papaya;Papayas
pea;Peas, dry
peachetc;Peaches and nectarines 
pear;Pears
pepper;Pepper (Piper spp.) 
peppermint;Peppermint
persimmon;Persimmons
pigeonpea;Pigeon peas
pimento;Chillies and peppers, dry
pineapple;Pineapples
pistachio;Pistachios
plantain;Plantains
plum;Plums and sloes
popcorn;Popcorn
poppy;Poppy seed
potato;Potatoes
pulsenes;Pulses, nes
pumpkinetc;Pumpkins, squash and gourds
pyrethrum;Pyrethrum,Dried
quince;Quinces
quinoa;Quinoa
ramie;Ramie
rapeseed;Rapeseed
rasberry;Raspberries
rice;Rice, paddy
rootnes;Roots and Tubers, nes
rubber;Natural rubber
rye;Rye
ryefor;ryefor
safflower;Safflower seed
sesame;Sesame seed
sisal;Sisal
sorghum;Sorghum
sorghumfor;sorghumfor
sourcherry;Cherries, sour
soybean;Soybeans
spicenes;Spices, nes
spinach;Spinach
stonefruitnes;Stone fruit, nes 
strawberry;Strawberries
stringbean;String beans
sugarbeet;Sugar beet
sugarcane;Sugar cane
sugarnes;Sugar crops, nes 
sunflower;Sunflower seed
swedefor;swedefor
sweetpotato;Sweet potatoes
tangetc;Tangerines, mandarins, clem. 
taro;Taro (cocoyam)
tea;Tea
tobacco;Tobacco, unmanufactured
tomato;Tomatoes
triticale;Triticale
tropicalnes;Fruit, tropical fresh nes
tung;Tung Nuts
turnipfor;turnipfor
vanilla;Vanilla
vegetablenes;Vegetables fresh nes 
vegfor;vegfor
vetch;Vetches
walnut;Walnuts, with shell 
watermelon;Watermelons
wheat;Wheat
yam;Yams
yautia;Yautia (cocoyam)
